player,pos,team,rebounds,assists,steals,blocks,points
Kenneth Faried,PF,DEN,462,55,43,40,587
Jordan Farmar,PG,SAC,3,9,2,0,12
Derrick Favors,PF,UTA,305,56,45,40,476
Kay Felder,PG,CLE,41,58,18,7,166
Cristiano Felicio,C,CHI,311,40,25,17,316
Raymond Felton,PG,LAC,218,191,66,22,538
Yogi Ferrell,PG,TOT,111,172,42,9,462
Dorian Finney-Smith,PF,DAL,222,67,52,25,350
Bryn Forbes,SG,SAS,23,23,1,0,94
Evan Fournier,SG,ORL,209,202,66,4,1167
Randy Foye,SG,BRK,155,135,35,9,357
Tim Frazier,PG,NOP,173,335,56,6,464
Channing Frye,C,CLE,290,45,33,37,676
Danilo Gallinari,SF,DEN,325,135,40,15,1145
Langston Galloway,PG,TOT,156,93,46,6,585
Patricio Garino,SG,ORL,7,0,0,0,0
Marc Gasol,C,MEM,464,338,67,99,1446
Pau Gasol,C,SAS,501,150,24,70,792
Rudy Gay,SF,SAC,190,83,44,26,562
Michael Gbinije,SG,DET,3,2,0,0,4
Alonzo Gee,SF,DEN,15,6,5,1,11
Paul George,SF,IND,492,251,119,27,1775
Marcus Georges-Hunt,SG,ORL,9,3,1,0,14
Jonathan Gibson,PG,DAL,22,26,8,0,106
Taj Gibson,PF,TOT,485,73,41,65,846
Manu Ginobili,SG,SAS,157,183,82,16,517
Rudy Gobert,C,UTA,1035,97,49,214,1137
Archie Goodwin,SG,TOT,28,24,4,5,110
Aaron Gordon,SF,ORL,405,150,65,40,1019
Eric Gordon,SG,HOU,201,188,48,41,1217
Marcin Gortat,C,WAS,849,121,40,61,883
Treveon Graham,SG,CHO,22,6,6,1,57
Jerami Grant,PF,TOT,205,46,33,79,437
Jerian Grant,PG,CHI,111,121,47,8,370
Danny Green,SG,SAS,224,124,70,57,497
Draymond Green,PF,GSW,599,533,154,106,776
Gerald Green,SF,BOS,84,33,9,7,262
JaMychal Green,PF,MEM,544,84,47,34,689
Jeff Green,PF,ORL,214,81,37,13,638
Blake Griffin,PF,LAC,497,300,57,22,1316
Justin Hamilton,C,BRK,262,55,29,43,442
A.J. Hammons,C,DAL,36,4,1,13,48
Tim Hardaway,SG,ATL,224,182,55,15,1143
James Harden,PG,HOU,659,907,121,38,2356
Maurice Harkless,SF,POR,341,88,85,70,773
Justin Harper,PF,PHI,5,2,0,0,12
Montrezl Harrell,C,HOU,219,64,20,42,527
Devin Harris,PG,DAL,127,136,43,7,437
Gary Harris,SG,DEN,178,164,71,8,851
Joe Harris,SG,BRK,147,54,30,8,428
Manny Harris,SG,DAL,9,2,0,0,8
Tobias Harris,PF,DET,416,142,60,39,1321
Aaron Harrison,SG,CHO,3,3,0,0,1
Andrew Harrison,PG,MEM,136,198,53,21,425
Udonis Haslem,C,MIA,36,6,6,1,31
Spencer Hawes,PF,TOT,191,81,15,30,337
Gordon Hayward,SF,UTA,394,252,73,20,1601
Gerald Henderson,SG,PHI,185,112,40,15,662
John Henson,C,MIL,295,57,29,78,392
Juan Hernangomez,PF,DEN,187,29,30,12,305
Willy Hernangomez,C,NYK,502,96,41,36,587
Mario Hezonja,SF,ORL,146,62,30,15,317
Roy Hibbert,C,TOT,152,21,8,46,221
Buddy Hield,SG,TOT,269,121,38,9,866
Nene Hilario,C,HOU,282,65,56,39,609
George Hill,PG,UTA,167,204,50,11,829
Jordan Hill,C,MIN,14,0,1,0,12
Solomon Hill,SF,NOP,307,141,72,32,563
Darrun Hilliard,SG,DET,33,33,11,2,127
Jrue Holiday,PG,NOP,264,488,100,44,1029
Justin Holiday,SG,NYK,225,102,65,31,629
Rondae Hollis-Jefferson,SF,BRK,452,154,82,44,675
Richaun Holmes,C,PHI,311,58,42,55,559
Rodney Hood,SG,UTA,202,96,38,11,748
Al Horford,C,BOS,465,337,52,86,952
Danuel House,SG,WAS,1,0,0,0,0
Dwight Howard,C,ATL,940,104,64,92,1002
Marcelo Huertas,PG,LAL,24,52,10,2,63
Josh Huestis,PF,OKC,9,3,0,3,14
Kris Humphries,PF,ATL,206,29,15,21,257
R.J. Hunter,SG,CHI,1,0,0,0,0
Serge Ibaka,PF,TOT,538,75,41,124,1173
Andre Iguodala,SF,GSW,304,261,76,39,574
Ersan Ilyasova,PF,TOT,481,141,58,23,1071
Joe Ingles,SF,UTA,261,225,96,8,581
Brandon Ingram,SF,LAL,316,166,50,36,740
Kyrie Irving,PG,CLE,230,418,83,24,1816
Jarrett Jack,PG,NOP,0,5,2,0,6
Demetrius Jackson,PG,BOS,4,3,0,0,10
Pierre Jackson,PG,DAL,9,19,2,0,35
