Player,Pos,Tm,TRB,AST,STL,BLK,PTS
George Hill,PG,UTA,167,204,50,11,829
Will Barton,SG,DEN,259,206,48,28,820
Clint Capela,C,HOU,526,63,34,79,818
Gorgui Dieng,PF,MIN,647,158,88,95,816
C.J. Miles,SF,IND,229,48,46,25,815
Jamal Murray,SG,DEN,214,170,51,24,811
Kent Bazemore,SF,ATL,231,177,91,52,801
Pau Gasol,C,SAS,501,150,24,70,792
Marco Belinelli,SG,CHO,178,147,44,9,780
Draymond Green,PF,GSW,599,533,154,106,776
Maurice Harkless,SF,POR,341,88,85,70,773
Shabazz Muhammad,SF,MIN,220,35,22,6,772
Dirk Nowitzki,PF,DAL,353,82,30,38,769
Malcolm Brogdon,SG,MIL,213,317,84,12,767
Jon Leuer,PF,DET,402,111,31,26,767
Patty Mills,PG,SAS,141,280,65,3,759
Ish Smith,PG,DET,235,418,61,33,758
Nik Stauskas,SG,PHI,226,188,45,32,756
Marquese Chriss,PF,PHO,348,60,67,70,753
Reggie Jackson,PG,DET,114,270,35,5,752
Rodney Hood,SG,UTA,202,96,38,11,748
Nikola Mirotic,PF,CHI,384,75,53,55,744
Michael Kidd-Gilchrist,SF,CHO,565,114,81,77,743
Brandon Ingram,SF,LAL,316,166,50,36,740
Cory Joseph,PG,TOR,235,265,66,13,740
Joe Johnson,SF,UTA,243,144,36,18,715
Marreese Speights,C,LAC,373,65,23,41,711
Trevor Booker,PF,BRK,571,138,75,28,709
E'Twaun Moore,SG,NOP,152,164,50,32,700
JaMychal Green,PF,MEM,544,84,47,34,689
Jameer Nelson,PG,DEN,192,385,54,8,687
Tony Snell,SG,MIL,248,96,55,14,683
Ty Lawson,PG,SAC,179,334,74,6,681
Kyle Korver,SG,TOT,186,110,34,21,678
Kelly Olynyk,C,BOS,361,148,43,29,678
Channing Frye,C,CLE,290,45,33,37,676
Rondae Hollis-Jefferson,SF,BRK,452,154,82,44,675
Gerald Henderson,SG,PHI,185,112,40,15,662
Jusuf Nurkic,C,TOT,467,123,50,74,662
Wayne Ellington,SG,MIA,132,70,35,4,648
Tony Allen,SG,MEM,391,98,115,29,643
Patrick Beverley,SG,HOU,393,281,99,25,639
DeMarre Carroll,SF,TOR,275,74,81,27,638
Jeff Green,PF,ORL,214,81,37,13,638
Tony Parker,PG,SAS,113,285,34,2,638
Norman Powell,SG,TOR,169,82,52,14,636
Monta Ellis,SG,IND,204,236,78,27,630
Justin Holiday,SG,NYK,225,102,65,31,629
Joel Embiid,C,PHI,243,66,27,76,627
D.J. Augustin,PG,ORL,117,209,31,1,616
Alex Len,C,PHO,510,44,38,98,613
Willie Cauley-Stein,C,SAC,339,80,53,44,611
Nene Hilario,C,HOU,282,65,56,39,609
Jeremy Lamb,SG,CHO,264,75,27,23,603
Emmanuel Mudiay,PG,DEN,178,217,41,13,603
Brandon Knight,SG,PHO,118,130,27,5,595
Doug McDermott,SF,TOT,179,58,13,5,592
Jahlil Okafor,C,PHI,240,58,20,49,590
Kenneth Faried,PF,DEN,462,55,43,40,587
Willy Hernangomez,C,NYK,502,96,41,36,587
Vince Carter,SF,MEM,227,133,60,36,586
Langston Galloway,PG,TOT,156,93,46,6,585
Terrence Jones,PF,TOT,306,59,40,54,584
Joe Ingles,SF,UTA,261,225,96,8,581
Matthew Dellavedova,PG,MIL,147,357,53,0,577
Brandon Jennings,PG,TOT,196,395,70,4,577
David Lee,PF,SAS,441,124,31,40,576
Andre Iguodala,SF,GSW,304,261,76,39,574
Iman Shumpert,SG,CLE,218,109,62,27,567
Solomon Hill,SF,NOP,307,141,72,32,563
Rudy Gay,SF,SAC,190,83,44,26,562
Richaun Holmes,C,PHI,311,58,42,55,559
T.J. McConnell,PG,PHI,251,534,134,10,556
Troy Daniels,SG,MEM,100,46,20,4,551
Josh Richardson,SG,MIA,168,140,60,39,539
Raymond Felton,PG,LAC,218,191,66,22,538
Rajon Rondo,PG,CHI,355,461,99,11,538
Al Jefferson,C,IND,278,57,19,16,535
Al-Farouq Aminu,SF,POR,451,99,60,44,532
Justin Anderson,SF,TOT,245,66,41,23,532
Sergio Rodriguez,PG,PHI,157,344,49,4,530
Michael Beasley,PF,MIL,193,53,27,27,528
Matt Barnes,SF,TOT,384,195,48,26,527
Ian Clark,SG,GSW,121,90,39,8,527
Montrezl Harrell,C,HOU,219,64,20,42,527
Jeremy Lin,PG,BRK,135,184,42,14,523
Andre Roberson,SF,OKC,403,79,94,79,522
Amir Johnson,PF,BOS,366,140,51,62,520
Manu Ginobili,SG,SAS,157,183,82,16,517
Dwight Powell,C,DAL,306,49,61,39,516
Arron Afflalo,SG,SAC,125,78,21,6,515
Jaylen Brown,SF,BOS,220,64,35,18,515
Sam Dekker,SF,HOU,284,76,38,21,504
Kelly Oubre,SF,WAS,261,47,58,17,501
Danny Green,SG,SAS,224,124,70,57,497
Rodney McGruder,SG,MIA,256,124,46,18,497
Kyle O'Quinn,C,NYK,439,117,36,104,496
Ben McLemore,SG,SAC,129,51,29,6,495
Luc Mbah a Moute,SF,LAC,170,39,81,35,484
Bismack Biyombo,C,ORL,567,74,25,91,483
Jonathon Simmons,SG,SAS,160,126,47,25,483
Domantas Sabonis,PF,OKC,288,82,39,32,479
Derrick Favors,PF,UTA,305,56,45,40,476
JaVale McGee,C,GSW,244,17,19,67,472
Kosta Koufos,C,SAC,403,47,36,48,470
Caris LeVert,SF,BRK,188,110,49,8,468
Tim Frazier,PG,NOP,173,335,56,6,464
Yogi Ferrell,PG,TOT,111,172,42,9,462
Larry Nance,PF,LAL,369,96,82,39,449
Richard Jefferson,SF,CLE,203,78,26,10,448
Timothe Luwawu-Cabarrot,SF,PHI,149,75,32,10,445
Nerlens Noel,C,TOT,294,50,65,50,445
Patrick Patterson,PF,TOR,293,76,40,23,445
Thabo Sefolosha,SF,ATL,270,107,96,31,444
Justin Hamilton,C,BRK,262,55,29,43,442
Trey Lyles,PF,UTA,235,69,26,20,440
Jerami Grant,PF,TOT,205,46,33,79,437
Devin Harris,PG,DAL,127,136,43,7,437
Bobby Portis,PF,CHI,296,35,16,11,437
Dante Cunningham,SF,NOP,277,37,39,28,435
Mike Muscala,C,ATL,240,95,30,41,435
Jared Dudley,PF,PHO,225,121,42,16,434
Spencer Dinwiddie,PG,BRK,164,185,44,23,432
Shelvin Mack,PG,UTA,125,154,42,3,430
James Ennis,SF,MEM,259,64,46,19,429
Joe Harris,SG,BRK,147,54,30,8,428
Khris Middleton,SF,MIL,123,99,41,7,426
Zaza Pachulia,C,GSW,410,132,59,33,426
Luol Deng,SF,LAL,295,74,48,20,425
Andrew Harrison,PG,MEM,136,198,53,21,425
Mindaugas Kuzminskas,SF,NYK,126,69,29,11,425
Jason Smith,C,WAS,258,37,21,54,420
Leandro Barbosa,SG,PHO,104,81,31,8,419
Glenn Robinson,SF,IND,246,47,41,20,419
Dante Exum,PG,UTA,132,111,21,12,412
Tyreke Evans,SF,TOT,137,124,35,9,411
Terry Rozier,PG,BOS,227,131,46,11,410
Alex Abrines,SG,OKC,86,40,37,8,406
Nemanja Bjelica,PF,MIN,244,79,40,20,403
Meyers Leonard,PF,POR,237,71,13,28,401
Timofey Mozgov,C,LAL,264,43,16,31,401
Tyson Chandler,C,PHO,539,30,33,24,397
John Henson,C,MIL,295,57,29,78,392
Malcolm Delaney,PG,ATL,123,193,39,1,391
Shaun Livingston,PG,GSW,151,139,38,20,389
Dewayne Dedmon,C,SAS,496,44,37,61,387
Tarik Black,C,LAL,343,39,29,44,383
J.J. Barea,PG,DAL,84,193,14,1,381
Joffrey Lauvergne,PF-C,TOT,251,70,25,6,375
Willie Reed,C,MIA,332,26,18,47,374
Corey Brewer,SF,TOT,166,97,61,20,371
Jerian Grant,PG,CHI,111,121,47,8,370
Aron Baynes,C,DET,333,32,17,39,365
Randy Foye,SG,BRK,155,135,35,9,357
J.R. Smith,SG,CLE,113,62,40,11,351
Dorian Finney-Smith,PF,DAL,222,67,52,25,350
Stanley Johnson,SF,DET,189,105,56,24,339
Boris Diaw,PF,UTA,158,170,18,9,338
Spencer Hawes,PF,TOT,191,81,15,30,337
Jodie Meeks,SG,ORL,77,45,34,4,327
Luke Babbitt,SF,MIA,141,36,20,11,324
Aaron Brooks,PG,IND,69,125,25,9,322
Mario Hezonja,SF,ORL,146,62,30,15,317
Cristiano Felicio,C,CHI,311,40,25,17,316
Ramon Sessions,PG,CHO,73,129,27,3,312
Juan Hernangomez,PF,DEN,187,29,30,12,305
Davis Bertans,PF,SAS,98,46,20,28,303
Jonas Jerebko,PF,BOS,272,71,25,17,299
Michael Carter-Williams,PG,CHI,153,113,38,23,297
Kris Dunn,PG,MIN,166,188,78,36,293
Brandon Bass,PF,LAC,129,21,14,11,292
Skal Labissiere,PF,SAC,162,27,16,13,289
Trey Burke,PG,WAS,47,100,11,5,285
Alec Burks,SG,UTA,120,30,18,5,283
Patrick McCaw,SG,GSW,100,77,32,15,282
Mike Dunleavy,SF,TOT,115,50,15,7,275
Anthony Morrow,SG,TOT,31,25,24,2,271
Jordan Crawford,SG,NOP,34,57,11,2,267
Darrell Arthur,PF,DEN,112,42,19,21,262
Gerald Green,SF,BOS,84,33,9,7,262
